PAROLA,FREQUENZA
the,4386834
and,3211081
of,2147459
to,1728024
a,1246381
in,1126528
i,992463
that,958252
he,916946
his,778112
it,765246
for,692018
with,640735
was,610836
you,520437
as,517923
is,505899
her,494000
not,463110
him,456921
be,443316
but,415739
they,403666
all,402497
s,393441
on,364897
had,350704
my,339596
she,336516
said,328865
at,327117
which,320027
have,316429
me,306211
shall,305273
this,292504
them,292359
from,290774
by,282341
so,276532
one,241717
will,229684
their,228378
are,219605
if,217829
unto,216422
t,214841
when,212354
there,210386
were,205268
lord,203971
what,201191
no,193189
who,186970
thou,185669
or,183026
up,181226
we,171902
out,171253
d,170096
thy,168443
an,167203
your,164758
then,156393
god,153366
do,151380
man,151356
now,144307
don,143999
more,125655
would,125467
thee,124813
upon,124530
into,124071
like,118848
come,117974
ye,109485
been,107753
go,106419
jo,106236
before,105205
day,105182
good,103933
little,103307
did,102012
came,101099
made,98389
know,98171
very,97341
say,96614
than,96249
great,96165
let,95206
about,95173
our,95122
see,93847
some,93343
time,92396
can,92344
us,90334
any,89854
these,89790
over,85976
hand,85417
well,85203
people,84885
down,84537
how,84339
could,82221
may,81939
after,80680
house,80406
old,80070
son,79730
only,79524
father,79497
went,78250
two,78101
make,77992
such,77883
even,77519
has,77026
am,76621
king,76615
himself,74768
away,73903
should,73453
men,71634
way,70445
other,69316
o,69274
take,69185
every,68361
much,67537
where,67019
eyes,66385
heart,65057
never,63952
children,63413
first,63246
those,62030
own,62000
here,61852
israel,61850
though,61062
things,60951
give,60123
against,59859
without,59247
because,57651
quixote,57516
put,57346
again,56837
hath,55776
mother,55766
through,55659
nor,55160
sancho,54714
also,54572
ll,54316
mr,53882
long,53771
meg,53530
head,52987
m,52895
life,52804
while,52737
face,52681
took,52340
thus,52318
must,52149
saying,51876
young,51410
off,51014
love,50986
amy,50856
many,50702
too,50589
tell,50573
yet,50221
might,49339
name,49111
place,47377
just,47113
land,47103
whom,46756
laurie,46644
being,46443
once,46333
saw,45688
think,45638
nothing,45244
ever,44438
hands,43977
words,43830
another,43125
word,42713
heard,42350
most,42029
look,41978
back,41666
thought,41626
same,41172
done,41105
shalt,41030
three,40712
its,40307
found,40091
left,40006
earth,39730
night,39650
days,39566
gave,38983
still,38868
among,38673
why,38673
full,38529
voice,38376
heaven,38248
brought,37976
last,37937
looked,37736
get,37710
right,37593
thing,37462
behold,37337
set,37336
asked,37154
called,36763
beth,36426
mind,36037
world,35975
dear,35704
round,35281
going,35172
therefore,34736
told,34691
hear,34411
got,34333
both,34113
arms,33727
woman,33639
years,33580
something,33460
under,33272
till,33196
soul,33053
always,32961
poor,32808
work,32788
side,32345
pass,32289
having,32227
home,32226
stood,32168
sons,32096
better,31980
hast,31838
began,31796
whole,31620
cried,31574
new,31474
chapter,31314
keep,31266
forth,30995
replied,30990
each,30493
saith,30337
death,30286
lady,30228
herself,30094
sent,30014
mine,29936
neither,29927
high,29457
seemed,29434
ve,29388
whose,29220
fire,29214
bring,29028
given,28736
seen,28677
door,28519
master,28477
end,28231
city,27980
together,27964
speak,27947
turned,27754
thine,27612
march,27593
find,27340
room,27322
myself,27071
friend,27070
mrs,27012
help,26991
child,26986
far,26921
light,26903
felt,26827
dead,26771
boy,26730
art,26464
won,26461
knew,26417
anything,26163
looking,26159
want,26044
half,26031
david,25808
alyosha,25740
rather,25657
fear,25451
themselves,25418
fell,25377
hundred,25296
soon,25244
care,25238
lay,25153
brother,24934
taken,24879
answered,24854
war,24742
oh,24731
quite,24673
jesus,24662
blood,24570
best,24533
part,24372
wife,24346
air,24254
rest,24129
four,23895
yes,23668
according,23529
spirit,23485
girls,23377
alone,23289
between,23166
sat,22972
book,22877
turn,22866
thousand,22794
moment,22708
eat,22315
read,22287
money,22114
happy,22089
fall,22080
gentleman,21969
ground,21935
thereof,21855
girl,21601
course,21330
sight,21291
call,21133
does,21118
chief,21073
oliver,21048
gods,20926
enough,20876
truth,20807
morning,20791
believe,20653
gone,20631
holy,20584
feet,20478
moses,20468
er,20411
next,20266
above,20085
didn,20078
hector,19974
leave,19909
kind,19898
evil,19871
jerusalem,19789
power,19755
return,19749
field,19702
judah,19667
everything,19578
bear,19573
few,19452
sort,19449
returned,19432
offering,19290
strong,19274
water,19267
jove,19246
five,19232
behind,19188
near,19155
arm,19147
hard,19094
peace,18901
daughter,18896
perhaps,18656
table,18328
laid,18269
gold,18260
plain,18258
cast,18231
ask,18191
glory,18082
mean,18080
true,18076
achilles,18057
fair,18021
year,17945
times,17911
until,17804
stand,17786
mouth,17779
knight,17733
feel,17716
law,17609
john,17595
live,17538
hope,17445
sword,17439
spoke,17420
twenty,17420
die,17406
rose,17363
since,17314
servant,17288
bed,17266
servants,17256
worship,17163
wish,17073
kept,17050
hair,16889
known,16887
open,16874
passed,16842
whether,16780
suddenly,16770
others,16702
tears,16672
white,16641
sure,16488
answer,16432
hold,16426
seven,16357
vain,16262
hour,16240
bread,16090
sir,16090
priest,16050
christ,16020
cannot,16016
fight,16009
certain,15966
almost,15940
used,15863
afraid,15850
troy,15839
cause,15838
lost,15816
family,15802
coming,15798
miss,15786
order,15769
none,15768
short,15724
friends,15714
sea,15593
along,15590
present,15570
women,15552
try,15507
cut,15483
matter,15300
fathers,15291
ready,15270
mighty,15237
egypt,15175
marius,15139
manner,15090
send,14917
already,14854
feeling,14850
force,14850
small,14833
fine,14827
show,14776
de,14713
rich,14647
spake,14616
second,14566
minute,14469
black,14414
wall,14405
body,14395
however,14337
strength,14262
silver,14218
seeing,14169
eye,14105
ivan,14079
glad,14041
country,13996
held,13947
understand,13898
six,13852
remember,13834
brethren,13808
loved,13801
need,13724
sister,13667
making,13651
jean,13618
sin,13616
fate,13604
taking,13601
ought,13538
story,13525
tried,13483
added,13413
aunt,13398
sleep,13308
faith,13195
received,13169
wait,13166
pretty,13072
less,13051
battle,12980
point,12962
close,12891
drink,12843
save,12829
pray,12796
wise,12788
flesh,12775
often,12722
joy,12678
slain,12659
stay,12645
beauty,12644
says,12641
senor,12622
written,12608
bad,12591
husband,12591
ah,12560
become,12526
ten,12523
else,12511
sun,12492
indeed,12473
yourself,12436
foot,12416
within,12371
gate,12358
midst,12352
talk,12345
age,12331
kings,12322
valjean,12320
p,12305
opened,12215
state,12210
host,12192
deep,12190
led,12170
least,12085
sound,12077
sweet,12065
laugh,12055
carried,12054
proud,12044
tom,12019
commanded,11994
wine,11973
cry,11939
breast,11890
fact,11889
letter,11819
evening,11807
cities,11805
drew,11770
youth,11731
large,11715
town,11700
wicked,11684
please,11679
comes,11619
lie,11588
reason,11572
doing,11571
rise,11550
silence,11535
walk,11535
died,11530
living,11467
stone,11452
boys,11417
nations,11409
around,11404
toward,11394
use,11382
sometimes,11326
itself,11301
trouble,11285
able,11277
cosette,11253
praise,11253
broken,11235
