PAROLA,FREQUENZA
the,6841983
and,4838423
of,3420992
to,2671467
a,2037827
in,1788465
that,1515858
i,1496394
he,1477461
it,1205629
his,1195417
was,1029855
for,1021047
with,969635
is,830703
you,819463
as,783420
her,742785
not,715508
him,709932
be,680794
they,616427
all,616408
had,613319
but,611089
on,594935
s,592086
said,554578
which,545828
at,523256
she,517997
have,503129
my,496180
this,484814
me,462774
shall,450223
them,446608
from,444606
by,435164
so,402314
one,402233
there,355998
will,348801
are,348063
their,337737
t,331111
were,325767
unto,325333
when,323520
what,319412
if,319331
lord,309997
no,308141
who,306334
up,290289
an,280476
out,269754
or,268218
thou,266873
we,265178
man,260295
your,245609
do,240440
then,234020
thy,231271
god,228855
now,218459
don,205630
into,201378
would,196994
more,193420
d,189022
upon,187604
been,184365
come,183195
thee,182535
like,182514
ye,172191
good,164429
did,162278
day,161677
little,161516
go,160496
before,158188
made,153807
know,153734
very,152804
came,150693
than,149148
say,147876
some,147750
about,146094
these,144938
see,144012
time,143923
any,141788
can,141721
let,141564
us,140409
great,139345
well,137487
over,137270
our,135741
down,135497
two,133169
hand,131525
people,130785
old,129691
could,128691
after,128418
how,127050
has,126391
only,126112
house,125955
jo,125304
himself,124768
father,121011
may,120592
make,118876
am,117782
even,117451
went,117323
such,115534
men,115326
other,115205
should,113973
son,113512
king,111368
way,110784
every,109286
away,109191
take,107040
o,104995
where,103905
eyes,103531
here,100009
never,99409
much,99059
children,98998
those,98129
heart,97169
first,95415
things,94292
own,94205
without,94190
israel,92822
against,92700
m,91582
give,90171
put,88684
again,88594
because,87761
though,87668
ll,85095
mother,84850
hath,84032
through,84012
also,83852
head,83270
must,82595
took,81951
life,81368
off,81241
face,80762
long,80622
young,80337
mr,79421
saying,78110
place,77224
quixote,76659
nothing,76518
name,76448
nor,76430
many,76387
tell,76380
might,75757
while,75506
love,75423
just,75251
too,74583
sancho,72949
being,72747
think,72043
its,71837
whom,71607
yet,71586
saw,71042
land,70461
once,70190
thus,68788
hands,68476
back,68301
heard,67996
thought,67098
another,66860
same,66842
ever,66433
word,66307
words,65784
three,64968
night,64855
done,64178
most,63786
meg,63178
why,63159
right,62805
woman,62426
among,62214
thing,62203
get,62193
look,62077
shalt,61049
left,60869
still,60833
last,60734
days,60507
voice,60451
found,60294
amy,59984
earth,59303
set,59066
brought,58963
called,58925
under,57786
looked,57469
chapter,57456
poor,57256
going,56885
full,56536
behold,55681
gave,55659
child,55573
laurie,55016
something,54694
years,54645
world,54376
soul,53542
mind,53383
therefore,53072
round,52959
always,52764
got,52582
door,52385
side,52352
heaven,52315
whole,51454
hear,51226
told,51026
seemed,50929
both,50674
asked,50097
work,50076
having,49560
stood,49505
dear,49410
pass,48779
seen,48082
better,48075
began,48012
replied,47562
each,47245
room,47190
keep,46929
forth,46925
new,46729
hast,46572
master,46485
turned,46425
neither,46247
ve,46086
sons,45932
light,45746
death,45742
saith,45498
marius,45375
tom,45194
herself,44934
till,44635
arms,44481
fire,44467
bring,44259
home,44259
end,43796
cried,43694
speak,43633
moment,43496
sent,43334
mine,43303
beth,42964
hundred,42736
whose,42485
anything,42478
given,42457
city,42168
felt,42107
lady,42008
together,41969
taken,41129
boy,41063
high,41040
dead,40893
jean,40854
themselves,40541
want,40460
four,40166
half,40008
thine,39828
knew,39786
find,39743
air,39733
yes,39576
between,39368
help,39243
myself,39156
david,38808
jesus,38775
far,38715
fell,38712
wife,38602
won,38592
mrs,38408
rather,38392
looking,38142
lay,37612
valjean,36960
does,36944
quite,36707
art,36492
soon,36476
friend,36443
thousand,36381
part,36329
blood,36260
sort,36215
according,36019
brother,35826
fear,35788
de,35767
answered,35764
rest,34897
book,34742
oh,34669
alone,34645
spirit,34595
morning,34551
read,34429
sat,34329
girl,34324
miss,34229
turn,34114
care,34058
eat,34036
march,33871
cosette,33759
few,33701
money,33597
best,33284
everything,33194
thereof,32813
five,32797
enough,32506
feet,32480
gone,32336
water,32293
gentleman,32262
course,31903
sight,31844
alyosha,31802
oliver,31572
near,31469
evil,31413
happy,31152
believe,31111
call,31056
holy,31016
behind,30876
ground,30872
war,30842
truth,30800
moses,30768
passed,30672
fall,30569
table,30339
